     Index              y_true              y_pred        descriptor_1        descriptor_2        descriptor_3
       235   -0.7225412690E+01   -0.7588841137E+01    0.4641807249E+01    0.2185294118E+02    0.3333333333E+00
       236   -0.9171234088E+01   -0.9073529754E+01    0.1160451812E+02    0.1390000000E+02    0.5000000000E+00
       237   -0.7705159140E+01   -0.7678397480E+01    0.7736345414E+01    0.1288000000E+02    0.5000000000E+00
       238   -0.6990549343E+01   -0.6988230702E+01    0.5802259061E+01    0.1246000000E+02    0.5000000000E+00
       239   -0.6708244966E+01   -0.6499479322E+01    0.4641807249E+01    0.1130000000E+02    0.5000000000E+00
       240   -0.8916748050E+01   -0.8937052683E+01    0.1160451812E+02    0.1224000000E+02    0.5000000000E+00
       241   -0.7519883736E+01   -0.7579739357E+01    0.7736345414E+01    0.1168000000E+02    0.5000000000E+00
       242   -0.6984319527E+01   -0.6899438391E+01    0.5802259061E+01    0.1138000000E+02    0.5000000000E+00
       243   -0.6550700327E+01   -0.6446861656E+01    0.4641807249E+01    0.1066000000E+02    0.5000000000E+00
       244   -0.1023424694E+02   -0.9734812192E+01    0.1160451812E+02    0.2032500000E+02    0.4000000000E+00
       245   -0.8429125539E+01   -0.8316659689E+01    0.7736345414E+01    0.1902500000E+02    0.4000000000E+00
       246   -0.7781706129E+01   -0.7710352317E+01    0.5802259061E+01    0.1962500000E+02    0.4000000000E+00
       247   -0.7283250941E+01   -0.7220367710E+01    0.4641807249E+01    0.1845000000E+02    0.4000000000E+00
       248   -0.8625193299E+01   -0.8650835701E+01    0.1160451812E+02    0.1145588235E+02    0.6666666667E+00
       249   -0.7625517950E+01   -0.7287573870E+01    0.7736345414E+01    0.1082352941E+02    0.6666666667E+00
       250   -0.7002480550E+01   -0.6589620838E+01    0.5802259061E+01    0.1030882353E+02    0.6666666667E+00
